 0.110101, acc 0.97
2017-06-30T15:06:47.066721: step 33557, loss 0.0627184, acc 0.98
2017-06-30T15:06:48.434834: step 33558, loss 0, acc 1
2017-06-30T15:06:49.800917: step 33559, loss 0.0162822, acc 0.99
2017-06-30T15:06:51.153730: step 33560, loss 0.0199215, acc 0.99
2017-06-30T15:06:52.505469: step 33561, loss 0.00603967, acc 0.99
2017-06-30T15:06:53.857206: step 33562, loss 0.122456, acc 0.98
2017-06-30T15:06:55.219932: step 33563, loss 0, acc 1
2017-06-30T15:06:56.566725: step 33564, loss 0.00377296, acc 0.99
2017-06-30T15:06:57.918039: step 33565, loss 0, acc 1
2017-06-30T15:06:59.271602: step 33566, loss 0.0284306, acc 0.99
2017-06-30T15:07:00.636799: step 33567, loss 0, acc 1
2017-06-30T15:07:01.997971: step 33568, loss 0.284021, acc 0.98
2017-06-30T15:07:03.343011: step 33569, loss 0.015203, acc 0.99
2017-06-30T15:07:04.708305: step 33570, loss 0.00558453, acc 0.99
2017-06-30T15:07:06.051367: step 33571, loss 0, acc 1
2017-06-30T15:07:07.414174: step 33572, loss 0.0021237, acc 0.99
2017-06-30T15:07:08.776014: step 33573, loss 0.0546206, acc 0.99
2017-06-30T15:07:10.118620: step 33574, loss 0.0101031, acc 0.99
2017-06-30T15:07:11.472903: step 33575, loss 0.0455031, acc 0.99
2017-06-30T15:07:12.835770: step 33576, loss 0, acc 1
2017-06-30T15:07:14.193214: step 33577, loss 0, acc 1
2017-06-30T15:07:15.544123: step 33578, loss 0, acc 1
2017-06-30T15:07:16.896815: step 33579, loss 0, acc 1
2017-06-30T15:07:18.243125: step 33580, loss 0.00568213, acc 0.99
2017-06-30T15:07:19.603205: step 33581, loss 0, acc 1
2017-06-30T15:07:20.957477: step 33582, loss 0, acc 1
2017-06-30T15:07:22.307610: step 33583, loss 0, acc 1
2017-06-30T15:07:23.661286: step 33584, loss 0.0268517, acc 0.99
2017-06-30T15:07:25.016768: step 33585, loss 0, acc 1
2017-06-30T15:07:26.379492: step 33586, loss 0, acc 1
2017-06-30T15:07:27.732405: step 33587, loss 0.0624288, acc 0.99
2017-06-30T15:07:29.099108: step 33588, loss 0, acc 1
2017-06-30T15:07:30.458659: step 33589, loss 0.0681856, acc 0.99
2017-06-30T15:07:31.816049: step 33590, loss 0.00687047, acc 0.99
2017-06-30T15:07:33.155939: step 33591, loss 0.0519765, acc 0.98
2017-06-30T15:07:34.504233: step 33592, loss 0, acc 1
2017-06-30T15:07:35.869297: step 33593, loss 0.0142589, acc 0.99
2017-06-30T15:07:37.229771: step 33594, loss 0, acc 1
2017-06-30T15:07:38.595367: step 33595, loss 0, acc 1
2017-06-30T15:07:39.947814: step 33596, loss 0.00910585, acc 0.99
2017-06-30T15:07:41.317591: step 33597, loss 0.0481019, acc 0.99
2017-06-30T15:07:42.670336: step 33598, loss 0.0260314, acc 0.99
2017-06-30T15:07:44.018190: step 33599, loss 0, acc 1
2017-06-30T15:07:45.367746: step 33600, loss 0, acc 1
2017-06-30T15:07:46.738659: step 33601, loss 0, acc 1
2017-06-30T15:07:48.100288: step 33602, loss 0, acc 1
2017-06-30T15:07:49.465229: step 33603, loss 0, acc 1
2017-06-30T15:07:50.814147: step 33604, loss 0, acc 1
2017-06-30T15:07:52.163829: step 33605, loss 0, acc 1
